id,text
1181,methionine
1182,Mexico
1183,MGUS
1184,microbiome
1185,microcystins
1186,Micronase
1187,microwaving
1188,migraine headaches
1189,milk chocolate
1190,millet
1191,mineral clay
1192,mint
1193,Mioscene
1194,miscarriage
1195,miso
1196,MIT
1197,mold
1198,monkfish
1199,monounsaturated fats
1200,Monsanto
1201,mood
1202,moose meat
1203,morbidity
1204,morphine
1205,mouthwash
1206,MPTP
1207,MRSA
1208,MSG
1209,mucus
1210,multiple myeloma
1211,multiple sclerosis
1212,multivitamins
1213,muscle inflammation
1214,muscle soreness
1215,muscle strength
1216,mushrooms
1217,mustard greens
1218,mustard powder
1219,mustard seeds
1220,mutation
1221,myristic acid
1222,Nagasaki
1223,nail health
1224,nanoparticles
1225,naphthalene
1226,naproxen
1227,NASA
1228,nasal cavity cancer
1229,National Beef Cattleman’s Association
1230,National Cancer Institute
1231,National Cattlemen's Beef Association
1232,National Confectioners Association
1233,National Dairy Board
1234,National Dairy Council
1235,National Dairy Promotion Board
1236,National Pork Board
1237,natural toxins
1238,nausea
1239,navy beans
1240,necrotizing fasciitis
1241,Nepal
1242,nerve health
1243,Netherlands
1244,neti pot
1245,neuropathy
1246,neurotoxins
1247,New York City
1248,New York Coalition for Healthy School Food
1249,New Zealand
1250,nicotine
1251,Nigeria
1252,nitrate
1253,nitric oxide
1254,nitrite
1255,nitroglycerin
1256,nitrosamines
1257,non-Hodgkin lymphoma
1258,nonalcoholic fatty liver disease
1259,noni fruit
1260,Norway
1261,Nuremburg Code
1262,nutmeg
1263,Nutrasweet
1264,nutrient absorption
1265,nutrient density
1266,nutrient synergy
1267,nutrition myths
1268,oatmeal
1269,oats
1270,Obama
1271,obesity
1272,obesogens
1273,occupational health
1274,octopus
1275,offal
1276,olive oil
1277,olives
1278,omega-3 fatty acids
1279,omnivores
1280,onions
1281,oolong tea
1282,optimal diet
1283,oral cancer
1284,orange juice
1285,oranges
1286,oregano
1287,Oregon
1288,organ meats
1289,organic
1290,organic foods
1291,organic milk
1292,orgasm
1293,Orville Redenbacher
1294,osteoarthritis
1295,osteoporosis
1296,Outback Steakhouse
1297,ovarian cancer
1298,ovary health
1299,overeating
1300,Oxford
1301,oxidative stress
1302,oyster mushrooms
1303,oysters
1304,paclitaxel
1305,paella
1306,pain
1307,paleolithic diets
1308,pancakes
1309,pancreas health
1310,pancreatic cancer
1311,pancreatic enzymes
1312,pancreatitis
1313,papaya
1314,paralysis
1315,Paramide Plus
1316,parkinsonism-dementia complex
1317,pasta
1318,pasteurization
1319,patent
1320,PBCs
1321,PBDEs
1322,PCBs
1323,PCOS
1324,peanuts
1325,pears
1326,peas
1327,pecans
1328,penicillin
1329,penile bone
1330,penis cancer
1331,penis health
1332,pepper
1333,peppermint
1334,peppermint oil
1335,peppers
1336,Pepsi
1337,perfluorochemicals
1338,periodontal disease
1339,persin
1340,petroleum jelly
1341,pets
1342,petunidin
1343,Pew Commission
1344,Pfizer
1345,pH
1346,pharmacists
1347,pheasants
1348,Phillip Morris
1349,PhIP
1350,phosgene
1351,phosphate additives
1352,phosphorus
1353,phthalates
1354,physical attraction
1355,Physicians Committee for Responsible Medicine
1356,phytoestrogens
1357,phytonutrients
1358,phytosterols
1359,pickled vegetables
1360,pie
1361,pine needles
1362,pine nuts
1363,pineal gland
1364,pinto beans
1365,piperine
1366,pistachio principle
1367,pistachios
1368,pizza
1369,Pizza Hut
1370,placebo
1371,placebo effect
1372,plant-based diets
1373,plantains
1374,plasma membrane
1375,plastic
1376,platelets
1377,plums
1378,plutonium
1379,pneumonia
1380,Poland
1381,polonium
1382,polycarbonate plastic
1383,polychlorinated naphthalenes
1384,polycyclic aromatic hydrocarbons
1385,polycyclic hydrocarbons
1386,polyethylene plastic
1387,polymyositis
1388,polyps
1389,polyradiculoneuropathy
1390,Polysorbate 80
1391,pomegranate juice
1392,pomegranates
1393,popcorn
1394,popcorn lung
1395,poppy seeds
1396,pork brains
1397,pork rinds
1398,portobello mushrooms
1399,potassium
1400,potassium sorbate
1401,potato chips
1402,potatoes
1403,poultry
1404,prebiotics
1405,Precose
1406,prediabetes
1407,PREDIMED
1408,pregnancy
1409,prehistoric diets
1410,Premarin
1411,premature puberty
1412,preservatives
1413,pressure cooking
1414,pretzels
1415,prion disease
1416,Pritikin
1417,probiotics
1418,processed foods
1419,processed meat
1420,propionate
1421,Propulcid
1422,prostate cancer
1423,prostate health
1424,prostatectomy
1425,protein
1426,protein powder
1427,Proteus mirabilis
1428,PSA
1429,pseudomembranous colitis
1430,psoriasis
1431,psychosis
1432,psyllium
1433,PTH
1434,puberty
1435,puffer fish
1436,pumpkin seeds
1437,Purevia
1438,purines
1439,purple potatoes
1440,purslane
1441,pus
1442,putrescine
1443,QALY
1444,quinoa
1445,Quorn
1446,rabbit meat
1447,rabies
1448,ractopamine
1449,radiation
1450,radishes
1451,raisins
1452,rash
1453,raspberries
1454,raw food
1455,Ray Cronice
1456,recipes
1457,rectal cancer
1458,red dye #3
1459,red meat
1460,red wine
1461,red yeast rice
1462,reindeer meat
1463,reproductive health
1464,respiratory infections
1465,restaurants
1466,resveratrol
1467,reticuloendotheliosis virus
1468,rheumatoid arthritis
1469,rhubarb
1470,riboflavin
1471,rice
1472,rice bran
1473,rice bran oil
1474,Rice Diet
1475,rice milk
1476,Ritalin
1477,roasting
1478,rooibos
1479,rooibos tea
1480,rose hips
1481,rosemary
1482,rosmarinic acid
1483,Roundup
1484,rye
1485,saccharin
1486,safety limits
1487,safflower oil
1488,saffron
1489,salads
1490,salami
1491,salami brusher's disease
1492,Salmonella
1493,salsa
1494,salt
1495,Salt Institute
1496,sandwiches
1497,saoot
1498,sarcocystis
1499,sardines
1500,sauerkraut
1501,sausage
1502,scallions
1503,schizophrenia
1504,School Lunch Program
1505,sciatica
1506,scombroid poisoning
1507,scurvy
1508,seafood workers
1509,seal oil
1510,second meal effect
1511,seeds
1512,seitan
1513,seizures
1514,selenium
1515,semen
1516,sesame oil
1517,sesame seeds
1518,sexual dysfunction
1519,sexual health
1520,sexual selection
1521,sexual transmission
1522,shark cartilage
1523,shark oil
1524,shiitake mushrooms
1525,shopping carts
1526,shortening
1527,shrimp
1528,side effects
1529,SIDS
1530,Singapore
1531,sinus health
1532,skim milk
1533,skin cancer
1534,skin health
1535,sleep
1536,sleeping pills
1537,Slovakia
1538,Slovenia
1539,Smithfield
1540,smoothies
1541,snail meat
1542,snake oil
1543,snake venom
1544,social anxiety disorder
1545,soda
1546,sodium
1547,sodium benzoate
1548,sorbitol
1549,sore throat
1550,soup
1551,South Africa
1552,soy
1553,soy milk
1554,soy sauce
1555,soybeans
1556,speech impairment
1557,sperm counts
1558,spermine
1559,spices
1560,spicy food
1561,spillover effect
1562,spinach
1563,spinal cord health
1564,split peas
1565,spoilage
1566,sports drinks
1567,sports medicine
1568,sprouting
1569,sprouts
1570,squash
1571,squash seeds
1572,standard American diet
1573,staph infection
1574,STARI
1575,statins
1576,steak
1577,steaming
1578,stearic acid
1579,stem cells
1580,stomach cancer
1581,stomach health
1582,stomach inflammation
1583,stomach ulcers
1584,stool size
1585,strawberries
1586,stress
1587,stress test
1588,substance P
1589,sucralose
1590,sudden cardiac death
1591,sugar
1592,Sugar Association
1593,Sugar Twin
1594,suicide
1595,sulfites
1596,sulfur dioxide
1597,sunburn
1598,sunchokes
1599,sunflower seeds
1600,sunlight
1601,superbugs
1602,supermarkets
1603,superoxide dismutase
1604,Supreme Court
1605,Surgeon General
1606,surgery
1607,sushi
1608,sustainability
1609,Sweden
1610,Sweet and Low
1611,Sweet One
1612,Swiss chard
1613,swordfish
1614,tahini
1615,Taiwan
1616,tamoxifen
1617,tamsulosin
1618,tangeretin
1619,tanning beds
1620,tarragon
1621,tart cherries
1622,taste buds
1623,Taxol
1624,tea
1625,teff
1626,television
1627,telomerase
1628,testicular cancer
1629,testicular health
1630,testosterone
1631,tetrodotoxin
1632,Texas
1633,TGI Friday's
1634,thalidomide
1635,theanine
1636,thimerosal
1637,throat cancer
1638,throat health
1639,thyme
1640,thymus
1641,thyroid cancer
1642,thyroid disease
1643,thyroid health
1644,TMAO
1645,tobacco
1646,tofu
1647,Tomato Effect
1648,tomato juice
1649,tomato sauce
1650,tomatoes
1651,Tonga
1652,tonsil cancer
1653,TOR
1654,torcetrapib
1655,Toxaphene
1656,toxic megacolon
1657,toxoplasma
1658,traffic
1659,trail mix
1660,transglutaminase
1661,treadmill
1662,tremors
1663,triglycerides
1664,trigylcerides
1665,trimethylamine
1666,triphala
1667,Truvia
1668,tulsi tea
1669,Tumor necrosis factor
1670,tumor suppressor genes
1671,Tums
1672,tuna
1673,Tuna Council
1674,turbinado sugar
1675,turkey
1676,TVP
1677,twin studies
1678,Twinkies
1679,twins
1680,Tylenol
1681,U.S. Department of Defense
1682,U.S. Dry Bean Council
1683,Uganda
1684,underweight
1685,Union of Concerned Scientists
1686,United Kingdom
1687,uric acid
1688,urinary tract infections
1689,urticaria
1690,Uruguay
1691,USDA
1692,vaccinations
1693,vaccines
1694,vaginal cancer
1695,vaginal discharge
1696,vaginal health
1697,vaginosis
1698,Valium
1699,varicose veins
1700,veal brains
1701,vegans
1702,vegetable oil
1703,vegetable protein
1704,vegetables
1705,vegetarians
1706,VEGF
1707,veggie bacon
1708,veggie dogs
1709,Veggiecation
1710,venison
1711,Vesanto Melina
1712,Viagra
1713,Vietnam
1714,vincristine
1715,vinegar
1716,Virginia Messina
1717,vision
1718,visual disturbance
1719,vitamin A
1720,vitamin B1
1721,vitamin B12
1722,vitamin C
1723,vitamin D
1724,vitamins
1725,VLDL
1726,voice box cancer
1727,voice box health
1728,vomiting
1729,vulva cancer
1730,waist-to-height ratio
1731,wakame
1732,walnuts
1733,wart viruses
1734,warts
1735,water
1736,watercress
1737,watermelon
1738,watermelon seeds
1739,weakness
1740,weight loss
1741,whale meat
1742,wheat
1743,whiff test
1744,whipped cream
1745,white meat
1746,white tea
1747,white wine
1748,wild game
1749,wine
1750,wine supplements
1751,women's health
1752,Women’s Healthy Eating and Living Study
1753,woodear mushrooms
1754,Workplace intervention
1755,World Cancer Research Fund
1756,wound healing
1757,wrinkles
1758,X-rays
1759,xanthan gum
1760,xanthones
1761,xeno-autoantibodies
1762,xenoestrogens
1763,xenohormesis
1764,yams
1765,yeast
1766,yerba mate
1767,Yersinia
1768,yogurt
1769,Z-Sweet
1770,zeaxanthin
1771,zinc
1772,zoonotic disease
1773,zucchini
1774,GMO
1775,McDonalds
1776,preservation
1777,Yanomamo
1778,Heart of Gold: Turmeric vs. Exercise
1779,Does Fiber Really Prevent Diverticulosis?
1780,Flame Retardant Pollutants and Child Development
1781,Peppermint Oil for Irritable Bowel Syndrome
1782,Can Diabetic Retinopathy Be Reversed?
1783,"Should You Sit, Squat, or Lean During a Bowel Movement?"
1784,How Many Bowel Movements Should You Have Every Day?
1785,The Best Kept Secret in Medicine
1786,Big Sugar Takes on the World Health Organization
1787,What Causes Diabetes?
1788,Uprooting the Leading Causes of Death
1789,Drugs and the Demise of the Rice Diet
1790,Dietary Pollutants May Affect Testosterone Levels
1791,"Turmeric Curcumin, MGUS, and Multiple Myeloma"
1792,Why Do Plant-Based Diets Help Rheumatoid Arthritis?
1793,How to Prevent Kidney Stones With Diet
1794,Are the Benefits of Organic Food Underrated or Overrated?
1795,Are Organic Foods Healthier?
1796,Are Organic Foods More Nutritious?
1797,Bowel Wars: Hydrogen Sulfide vs. Butyrate
1798,How to Prevent High Blood Pressure with Diet
1799,Antioxidants and Depression
1800,Cholesterol Crystals May Tear Through Our Artery Lining
1801,What Percent of Americans Lead Healthy Lifestyles?
1802,C. difficile Superbugs in Meat
1803,Formula for Childhood Obesity
1804,Peppermint Aromatherapy for Nausea
1805,Switching from Beef to Chicken & Fish May Not Lower Cholesterol
1806,How Much Fruit is Too Much?
1807,Diet and Amyotrophic Lateral Sclerosis (ALS)
1808,ALS (Lou Gehrig's Disease): Fishing for Answers
1809,Nutritional Yeast to Prevent the Common Cold
1810,Can Oatmeal Help Fatty Liver Disease?
1811,Oatmeal Lotion for Chemotherapy-Induced Rash
1812,Do Antidepressant Drugs Really Work?
1813,Exercise vs. Drugs for Depression
1814,Improving on the Mediterranean Diet
1815,Do Flexitarians Live Longer?
1816,Which Parts of the Mediterranean Diet Extended Life?
1817,PREDIMED: Does Eating Nuts Prevent Strokes?
1818,The Mediterranean Diet or a Whole Food Plant-Based Diet?
1819,Why Was Heart Disease Rare in the Mediterranean?
1820,Optimal Cholesterol Level
1821,Reducing Glycotoxin Intake to Prevent Alzheimer's
1822,The Cilantro Gene
1823,Plant-Based Workplace Intervention
1824,Lipotoxicity: How Saturated Fat Raises Blood Sugar
1825,The Spillover Effect Links Obesity to Diabetes
1826,What Causes Insulin Resistance?
1827,The Problem With the Paleo Diet Argument
1828,Flax Seeds for Hypertension
1829,Preventing Alzheimer’s Disease With Plants
1830,Turmeric Curcumin vs. Exercise for Artery Function
1831,Enhancing Athletic Performance With Peppermint
1832,Never Too Late to Start Eating Healthier
1833,Are Raisins Good Snacks for Kids?
1834,Plant-Based Diets and Diabetes
1835,How Many Meet the Simple Seven?
1836,Which Dietary Factors Affect Breast Cancer Most?
1837,Ciguatera Poisoning & Chronic Fatigue Syndrome
1838,Preventing Crohn’s Disease With Diet
1839,Why Do Vegan Women Have 5x Fewer Twins?
1840,"Estrogen in Meat, Dairy, and Eggs"
1841,Can Diet Protect Against Kidney Cancer?
1842,Paleo Diets May Negate Benefits of Exercise
1843,Aspartame and the Brain
1844,Food Industry Funded Research Bias
1845,Kempner Rice Diet: Whipping Us Into Shape
1846,Back in Circulation: Sciatica and Cholesterol
1847,"If Fructose is Bad, What About Fruit?"
1848,Eliminating 90% of Heart Disease Risk
1849,Inhibiting Platelet Activation with Tomato Seeds
1850,Preventing Alzheimer’s Disease with Diet
1851,Preventing Alzheimer’s with Lifestyle Changes
1852,GMO Soy and Breast Cancer
1853,Is Monsanto’s Roundup Pesticide Glyphosate Safe?
1854,Are GMOs Safe? The Case of Roundup Ready Soy
1855,Are GMOs Safe? The Case of Bt Corn
1856,Antibiotics: Agribusinesses’ Pound of Flesh
1857,Hospitals Selling Sickness
1858,Dairy Estrogen and Male Fertility
1859,The Role of Diet in Declining Sperm Counts
1860,Turmeric Curcumin and Pancreatic Cancer
1861,Can Flax Seeds Help Prevent Breast Cancer?
1862,PCBs in Children’s Fish Oil Supplements
1863,How Much Hibiscus Tea is Too Much?
1864,Is There Too Much Aluminum in Tea?
1865,Protecting Teeth From Hibiscus Tea
1866,Hibiscus Tea vs. Plant-Based Diets for Hypertension
1867,Lifestyle Medicine Is the Standard of Care for Prediabetes
1868,Telomeres: Cap It All Off with Diet
1869,Does Meditation Affect Cellular Aging?
1870,Treating Alzheimer's with Turmeric
1871,Preventing Alzheimer's with Turmeric
1872,Garlic and Raisins to Prevent Premature Birth
1873,Dioxins in U.S. Farm-Raised Catfish
1874,Collaboration with the New Vectors of Disease
1875,Four Nuts Once a Month
1876,Treating Gout with Cherry Juice
1877,MRSA Superbugs in Meat
1878,How to Prevent Prediabetes in Children
1879,How to Prevent Prediabetes from Turning into Diabetes
1880,"Beans, Beans, They're Good For Your Heart"
1881,How to Diagnose Gluten Intolerance
1882,Gluten-Free Diets: Separating the Wheat from the Chat
1883,Is Gluten Sensitivity Real?
1884,Second Strategy to Cooking Broccoli
1885,Inhibiting Platelet Aggregation with Berries
1886,Illegal Drugs in Chicken Feathers
1887,What’s the Best Mouthwash?
1888,Which Vegetable Binds Bile Best?
1889,Breast Cancer and Constipation
1890,Evidence-Based Medicine or Evidence-Biased?
1891,Saving Lives By Treating Acne With Diet
1892,Preventing Prediabetes By Eating More
1893,Which Nut Fights Cancer Better?
1894,What Diet Should Physicians Recommend?
1895,Preventing Liver Cancer with Coffee
1896,Essential Tremor and Diet
1897,Cooking to Live Longer
1898,The Best Way to Cook Sweet Potatoes
1899,Anti-Cancer Potential of Sweet Potato Proteins
1900,Dark Chocolate and Artery Function
1901,Broccoli: Sprouts vs. Supplements
1902,When Low Risk Means High Risk
1903,Topical Application of Turmeric Curcumin for Cancer
1904,Turmeric Curcumin and Colon Cancer
1905,Cadmium and Cancer: Plant vs. Animal Foods
1906,Watermelon for Sore Muscle Relief
1907,Gout Treatment with a Cherry on Top
1908,Longer Life Within Walking Distance
1909,Turning the Clock Back 14 Years
1910,"Fruits, Veggies, and Longevity: How Many Minutes Per Mouthful?"
1911,Magic Bullets vs. Promiscuous Plants
1912,Plants as Intellectual Property – Patently Wrong?
1913,Xenohormesis: What Doesn't Kill Plants May Make Us Stronger
1914,Appropriating Plant Defenses
1915,"Tick Bites, Meat Allergies, and Chronic Urticaria"
1916,Debunking Egg Industry Myths
1917,Walnuts and Artery Function
1918,Pollutants in Salmon and Our Own Fat
1919,Diabetes and Dioxins
1920,Fish and Diabetes
1921,Cancer Risk From French Fries
1922,Statin Cholesterol Drugs and Invasive Breast Cancer
1923,Cholesterol Feeds Breast Cancer Cells
1924,Treating Asthma With Fruits and Vegetables
1925,Preventing Asthma With Fruits and Vegetables
1926,Taxpayer Subsidies for Unhealthy Foods
1927,How Many Cancers Have Been Caused by Arsenic-Laced Chicken?
1928,California Children Are Contaminated
1929,Caloric Restriction vs. Animal Protein Restriction
1930,Why Do We Age?
1931,Blood Type Diet Debunked
1932,Phytates for Rehabilitating Cancer Cells
1933,Phytates for the Prevention of Cancer
1934,Low Carb Diets and Coronary Blood Flow
1935,Nuts May Help Prevent Death
1936,Turmeric Curcumin Reprogramming Cancer Cell Death
1937,Carcinogen Blocking Effects of Turmeric
1938,Back to Our Roots: Curry and Cancer
1939,Seeing Red No. 3: Coloring to Dye For
1940,How to Slow Brain Aging by Two Years
1941,Is Meat Glue Safe?
1942,Is Liquid Smoke Flavoring Carcinogenic?
1943,"Food Antioxidants, Stroke, and Heart Disease"
1944,Food Antioxidants and Cancer
1945,Orange Aromatherapy for Anxiety
1946,Who Says Eggs Aren't Healthy or Safe?
1947,How Much Exercise to Sustain Weight Loss?
1948,Foster Farms Responds to Chicken Salmonella Outbreaks
1949,Norovirus Food Poisoning from Pesticides
1950,Is Fish Oil Just Snake Oil?
1951,Should We Take a Multivitamin?
1952,Convincing Doctors to Embrace Lifestyle Medicine
1953,Dr. Burkitt’s F-Word Diet
1954,Prostate Cancer and Organic Milk vs. Almond Milk
1955,Who Shouldn’t Consume Curcumin or Turmeric?
1956,Turmeric Curcumin and Rheumatoid Arthritis
1957,Spicing Up DNA Protection
1958,Which Spices Fight Inflammation?
1959,Superbugs in Conventional vs. Organic Chicken
1960,"Bacon, Eggs, and Gestational Diabetes During Pregnancy"
1961,Dietary Treatments for Computer Eye Strain
1962,Dietary Treatment of Glaucoma
1963,Dietary Prevention of Age-Related Macular Degeneration
1964,Boosting Natural Killer Cell Activity
1965,Vitamin B12 Necessary for Arterial Health
1966,Arteries of Vegans vs. Runners
1967,Antioxidant Rich Foods With Every Meal
1968,"How to Reach the Antioxidant ""RDA"""
1969,"Minimum ""Recommended Daily Allowance"" of Antioxidants"
1970,Eggs and Diabetes
1971,Phytates for the Prevention of Osteoporosis
1972,One in a Thousand: Ending the Heart Disease Epidemic
1973,Cavities and Coronaries: Our Choice
1974,Mercury vs. Omega-3s for Brain Development
1975,Fish Intake Associated With Brain Shrinkage
1976,Are Fatty Foods Addictive?
1977,Are Sugary Foods Addictive?
1978,How to Avoid Phosphate Additives
1979,Phosphate Additives in Chicken
1980,The Broccoli Receptor: Our First Line of Defense
1981,Lifestyle Medicine: Treating the Causes of Disease
1982,Canned Beans or Cooked Beans?
1983,BRCA Breast Cancer Genes and Soy
1984,Increased Lifespan From Beans
1985,How Many Poppy Seeds Are Too Many?
1986,Nutrient-Dense Approach to Weight Management
1987,Preserving Immune Function in Athletes With Nutritional Yeast
1988,"Eggs, Choline, and Cancer"
1989,Eggs and Choline: Something Fishy
1990,BOLD Indeed: Beef Lowers Cholesterol?
1991,Tell Your Doctor If You Eat Grapefruit
1992,Testing Your Diet with Pee & Purple Cabbage
1993,"Alkaline Diets, Animal Protein, & Calcium Loss"
1994,Breast Cancer Survival Vegetable
1995,Prostate Cancer Survival: The A/V Ratio
1996,Methionine Restriction as a Life Extension Strategy
1997,Starving Cancer with Methionine Restriction
1998,Eating Outside Our Kingdom
1999,Poultry Exposure Tied to Liver and Pancreatic Cancer
2000,Eating Better to Look Better
2001,Changing Our Taste Buds
2002,Tricks to Get Adults to Eat Healthier
2003,Tricks to Get Kids to Eat Healthier at Home
2004,Treating ADHD Without Stimulants
2005,Butter-Flavored Microwave Popcorn or Breathing
2006,Pistachio Nuts for Erectile Dysfunction
2007,50 Shades of Greens
2008,Survival of the Firmest: Erectile Dysfunction and Death
2009,Which Seaweed is Most Protective Against Breast Cancer?
2010,Preventing Exercise-Induced Oxidative Stress With Watercress
2011,Reducing Muscle Soreness With Berries
2012,Infant Seizures Linked to Mother's Spirulina Use
2013,Safety of Noni and Mangosteen Juice
2014,Is Carrageenan Safe?
2015,Dietary Treatment for Painful Menstrual Periods
2016,Cayenne Pepper for Irritable Bowel Syndrome and Chronic Indigestion
2017,Hot Sauce in the Nose for Cluster Headaches?
2018,Tart Cherries for Insomnia
2019,Kiwifruit for Insomnia
2020,Why Might Vegetarians Have Less HPV?
2021,Past the Age of Miracles: Facing a Post-Antibiotic Age
2022,Beans and the Second Meal Effect
2023,Eggs and Cholesterol: Patently False and Misleading Claims
2024,Male Fertility and Diet
2025,Trans Fat In Meat And Dairy
2026,Reducing Radiation Damage With Ginger & Lemon Balm
2027,Mediating Radiation Exposure From Airline Travel
2028,Fukushima and Radioactivity in Seafood
2029,Childhood Tea Drinking May Increase Fluorosis Risk
2030,Can Cranberry Juice Treat Bladder Infections?
2031,Avoiding Chicken To Avoid Bladder Infections
2032,Bacterial Vaginosis and Diet
2033,Lavender for Migraine Headaches
2034,Lavender for Generalized Anxiety Disorder
2035,Gut Feelings: Probiotics and Mental Health
2036,Preventing and Treating Diarrhea with Probiotics
2037,Breast Cancer Risk: Red Wine vs. White Wine
2038,Boosting Immunity While Reducing Inflammation
2039,Black Raspberries versus Oral Cancer
2040,Strawberries versus Esophageal Cancer
2041,Cranberries versus Cancer
2042,Which Fruit Fights Cancer Better?
2043,The Lie That Heals: Should Doctors Give Placebos?
2044,Does a Drink Of Water Make Children Smarter?
2045,Flax Seeds For Breast Pain
2046,"Carnitine, Choline, Cancer and Cholesterol: The TMAO Connection"
2047,Plant-Based Diets For Breast Pain
2048,The Safety of Tarragon
2049,Don't Eat Too Much Nutmeg
2050,Update on Cinnamon for Blood Sugar Control
2051,Can Cellulite Be Treated With Diet?
2052,Flaxseeds & Breast Cancer Survival: Epidemiological Evidence
2053,Flaxseeds & Breast Cancer Prevention
2054,Fiber vs. Breast Cancer
2055,Flaxseeds For Sensitive Skin
2056,Flaxseed vs. Diabetes
2057,"Was It the Flaxseed, Fat Restriction, or Both?"
2058,Flaxseed vs. Prostate Cancer
2059,Salmonella in Chicken & Turkey: Deadly But Not Illegal
2060,Prunes vs. Metamucil vs. Vegan Diet
2061,"Dried Apples, Dates, Figs or Prunes for Cholesterol?"
2062,Eggs vs. Cigarettes in Atherosclerosis
2063,Herbal Tea Update: Rooibos & Nettle
2064,Herbal Tea Update: Hibiscus
2065,Treating Parkinson's Disease With Diet
2066,Preventing Parkinson's Disease With Diet
2067,Clinical Studies on Acai Berries
2068,Can Gargling Prevent The Common Cold?
2069,Are Cats or Dogs More Protective For Children's Health?
2070,Foodborne Rabies
2071,Is Vitamin D3 Better Than D2?
2072,Does Coconut Oil Clog Arteries?
2073,Does Coconut Oil Cure Alzheimer's?
2074,Plant-Based Diets: Dental Health
2075,Plant-Based Diets: Oral Health
2076,"Cancer, Interrupted: Garlic & Flavonoids"
2077,"Cancer, Interrupted: Green Tea"
2078,"Heterocyclic Amines in Eggs, Cheese, and Creatine?"
2079,Reducing Cancer Risk In Meateaters
2080,PhIP: The Three Strikes Breast Carcinogen
2081,Estrogenic Cooked Meat Carcinogens
2082,Fibromyalgia vs. Mostly Raw & Mostly Vegetarian Diets
2083,Fibromyalgia vs. Vegetarian & Raw Vegan Diets
2084,Flesh and Fructose
2085,Miocene Meteorites and Uric Acid
2086,Tree Nuts or Peanuts for Breast Cancer Prevention?
2087,Preventing Breast Cancer By Any Greens Necessary
2088,Why Do Asian Women Have Less Breast Cancer?
2089,Breast Cancer vs. Mushrooms
2090,Whole Grains May Work As Well As Drugs
2091,Metabolic Syndrome and Plant-Based Diets
2092,98% of American Diets Potassium Deficient
2093,Meat May Exceed Daily Allowance of Irony
2094,Nonhuman Molecules Lining Our Arteries
2095,How Tumors Use Meat to Grow: Xeno-Autoantibodies
2096,The Inflammatory Meat Molecule Neu5Gc
2097,Clonal Deletion Theory of Immunity
2098,Clonal Selection Theory of Immunity
2099,Cancer as an Autoimmune Disease
2100,How Diet Soda Could Make Us Gain Weight
2101,Erythritol May Be a Sweet Antioxidant
2102,Diet Soda and Preterm Birth
2103,Aspartame-Induced Fibromyalgia
2104,Yersinia in Pork
2105,Ractopamine in Pork
2106,Meat Mythcrushers
2107,Antioxidants Sprouting Up
2108,Standing Up for Your Health
2109,Preventing Wrinkles with Diet
2110,Beauty Is More Than Skin Deep
2111,Gerson-style Therapy vs. Chemotherapy
2112,Gerson Therapy for Cancer
2113,Plant-Based Bioidentical Hormones
2114,Changing Protein Recommendations?
2115,Ergothioneine: A New Vitamin?
2116,Lowering Dietary Antibiotic Intake
2117,The Wrong Way to Detox
2118,The Best Baby Formula
2119,Plants vs. Pesticides
2120,Food Sources of Perfluorochemicals
2121,How Fast Can Children Detoxify from PCBs?
2122,DDT in Umbilical Cord Blood
2123,Food Sources of Flame Retardant Chemicals
2124,Pesticides in Chinese Bamboo Shoots
2125,President's Cancer Panel Report on Environmental Risk
2126,﻿CDC Report on Environmental Chemical Exposure
2127,Saffron vs. Prozac
2128,Wake Up and Smell the Saffron
2129,Saffron for the Treatment of PMS
2130,Eating Green to Prevent Cancer
2131,Bug Appétit: Barriers to Entomophagy
2132,Modern Meat Not Ahead of the Game
2133,Paleolithic Lessons
2134,Plant-Based Bodybuilding
2135,How Much Soy Is Too Much?
2136,Too Much Soy May Neutralize Benefits
2137,Animalistic Plant Proteins
2138,Higher Quality May Mean Higher Risk
2139,Protein Intake & IGF-1 Production
2140,Cancer-Proofing Mutation
2141,IGF-1 as One-Stop Cancer Shop
2142,Prostate vs. Plants
2143,Some Prostates Are Larger than Others
2144,"Is It the Diet, the Exercise, or Both?"
2145,Ex Vivo Cancer Proliferation Bioassay
2146,Engineering a Cure
2147,Slimming the Gecko
2148,Diet Pills Do Fat a Lot of Good
2149,Biblical Daniel Fast Put to the Test
2150,Tightening the Bible Belt
2151,Waist Circumference Less Than Half Your Height
2152,Cattlemen’s Association Has Beef With Study
2153,Meat and Weight Gain in the PANACEA Study
2154,Diet vs. Exercise for Weight Loss
2155,The Ice Diet
2156,Fawning Over Flora
2157,Fat Burning Via Flavonoids
2158,Fat Burning Via Arginine
2159,Testing the Fat Burning Theory
2160,Testing the Dietary Compensation Theory
2161,Testing the Pistachio Principle
2162,Solving the Mystery of the Missing Calories
2163,Nuts and Obesity: The Weight of Evidence
2164,How Phytosterols Lower Cholesterol
2165,How Fiber Lowers Cholesterol
2166,Nuts and Bolts of Cholesterol Lowering
2167,Diet Versus Drugs for High Cholesterol
2168,Black Versus English Walnuts
2169,The True Shelf-Life of Cooking Oils
2170,The Best Way to Boost Serotonin
2171,A Better Way to Boost Serotonin
2172,Mineral of the Year—Magnesium
2173,How Do Nuts Prevent Sudden Cardiac Death?
2174,Risk Associated With Iron Supplements
2175,New Mineral Absorption Enhancers Found
